UF_XML_ID;UF_NAME;UF_COLOR_HEX;UF_TYPE;UF_SORT;UF_ACTIVE
antracit_pet_1;Антрацит ПЭТ-1;#cccccc;pet;10;1
antracit_pet;Антрацит ПЭТ;#383838;pet;20;1
brash_blyu_pet;Браш блю ПЭТ;#6B8FAD;pet;30;1
beysik_vayt_pet;Бэйсик вайт ПЭТ;#F5F5F0;pet;40;1
layt_grey_pet;Лайт грей ПЭТ;#D3D3D3;pet;50;1
meni_grin_pet;Мени грин ПЭТ;#5B7A5E;pet;60;1
snou_pet;Сноу ПЭТ;#FFFAFA;pet;70;1
tekstura_grey_pet;Текстура грей ПЭТ;#A9A9A9;pet;80;1
antracit;Антрацит;#3B3B3B;pvc;100;1
atlantik_soft;Атлантик софт;#4B6F8F;pvc;110;1
belyy_matovyy;Белый матовый;#F5F5F5;pvc;120;1
blanzh;Бланж;#F0E6D8;pvc;130;1
veluto_vanil;Велуто ваниль;#F3E5AB;pvc;140;1
vena;Вена;#C8B898;pvc;150;1
venge_premium;Венге премиум;#2F1B14;pvc;160;1
vud_silver;Вуд сильвер;#C0B8A8;pvc;170;1
vyaz_grafit;Вяз графит;#5A5A52;pvc;180;1
vyaz_grey;Вяз грей;#B0A89C;pvc;190;1
vyaz_milk;Вяз милк;#EDE3D0;pvc;200;1
gorchitsa_soft;Горчица софт;#FFDB58;pvc;210;1
grafit_temnyy;Графит тёмный;#4A4A4A;pvc;220;1
dub_akvamarin;Дуб аквамарин;#7FBAAD;pvc;230;1
dub_bodega_zolotoy;Дуб бодега золотой;#C8A848;pvc;240;1
dub_bodega_naturalnyy;Дуб бодега натуральный;#B5A088;pvc;250;1
dub_bodega_svetlyy;Дуб бодега светлый;#CFC0A8;pvc;260;1
dub_bolotnyy;Дуб болотный;#5E6E50;pvc;270;1
dub_krem;Дуб крем;#EBD9B4;pvc;280;1
dub_mavella;Дуб мавелла;#A08060;pvc;290;1
dub_molochnyy;Дуб молочный;#E8D5B7;pvc;300;1
dub_pudra;Дуб пудра;#D4C4B0;pvc;310;1
dub_s_patinoy;Дуб с патиной;#A89060;pvc;320;1
dub_siena_seryy_diagonal;Дуб сиена серый диагональ;#9A8A7A;pvc;330;1
dub_siena_seryy;Дуб сиена серый;#9E8E7E;pvc;340;1
dub_siena_yantarnyy_diagonal;Дуб сиена янтарный диагональ;#C48C4C;pvc;350;1
dub_siena_yantarnyy;Дуб сиена янтарный;#C89050;pvc;360;1
dyuna_briz;Дюна бриз;#D0C8B8;pvc;370;1
dyuna_mistral;Дюна мистраль;#C8BCA8;pvc;380;1
dyuna_nord;Дюна норд;#E8D8C0;pvc;390;1
karagach_svetlyy;Карагач светлый;#C8A878;pvc;400;1
kvazar;Квазар;#5C5470;pvc;410;1
keramik_belyy;Керамик белый;#F0EBE3;pvc;420;1
keramik_kakao;Керамик какао;#8B6F5E;pvc;430;1
keramik_kapuchino;Керамик капучино;#C4A882;pvc;440;1
keramik_matovyy;Керамик матовый;#E8E0D8;pvc;450;1
keramik_seryy;Керамик серый;#B8B0A8;pvc;460;1
krasnaya_burgundiya;Красная бургундия;#800020;pvc;470;1
kroskat;Кроскат;#A89880;pvc;480;1
